"spell_name","trait_name"
"Ancient Dust","Cantrip"
"Ancient Dust","Necromancy"
"Ancient Dust","Negative"
"Ancient Dust","Uncommon"
"Approximate","Cantrip"
"Approximate","Detection"
"Approximate","Divination"
"Boost Eidolon","Cantrip"
"Boost Eidolon","Evocation"
"Boost Eidolon","Summoner"
"Boost Eidolon","Uncommon"
"Bullhorn","Auditory"
"Bullhorn","Cantrip"
"Bullhorn","Concentrate"
"Bullhorn","Illusion"
"Bullhorn","Manipulate"
"Buzzing Bites","Cantrip"
"Buzzing Bites","Evocation"
"Buzzing Bites","Hex"
"Buzzing Bites","Rare"
"Buzzing Bites","Witch"
"Caustic Blast","Acid"
"Caustic Blast","Cantrip"
"Caustic Blast","Concentrate"
"Caustic Blast","Manipulate"
"Clinging Ice","Cantrip"
"Clinging Ice","Cold"
"Clinging Ice","Hex"
"Clinging Ice","Manipulate"
"Clinging Ice","Uncommon"
"Clinging Ice","Witch"
"Courageous Anthem","Bard"
"Courageous Anthem","Cantrip"
"Courageous Anthem","Composition"
"Courageous Anthem","Concentrate"
"Courageous Anthem","Emotion"
"Courageous Anthem","Mental"
"Courageous Anthem","Uncommon"
"Daze","Cantrip"
"Daze","Concentrate"
"Daze","Manipulate"
"Daze","Mental"
"Daze","Nonlethal"
"Deep Breath","Air"
"Deep Breath","Cantrip"
"Deep Breath","Manipulate"
"Detect Magic","Cantrip"
"Detect Magic","Concentrate"
"Detect Magic","Detection"
"Detect Magic","Manipulate"
"Detect Metal","Cantrip"
"Detect Metal","Concentrate"
"Detect Metal","Detection"
"Detect Metal","Manipulate"
"Detect Metal","Metal"
"Discern Secrets","Cantrip"
"Discern Secrets","Hex"
"Discern Secrets","Manipulate"
"Discern Secrets","Uncommon"
"Discern Secrets","Witch"
"Distortion Lens","Cantrip"
"Distortion Lens","Conjuration"
"Distortion Lens","Psychic"
"Distortion Lens","Uncommon"
"Divine Lance","Attack"
"Divine Lance","Cantrip"
"Divine Lance","Concentrate"
"Divine Lance","Manipulate"
"Divine Lance","Sanctified"
"Divine Lance","Spirit"
"Draw Moisture","Cantrip"
"Draw Moisture","Concentrate"
"Draw Moisture","Manipulate"
"Draw Moisture","Water"
"Eat Fire","Cantrip"
"Eat Fire","Fire"
"Eat Fire","Manipulate"
"Electric Arc","Cantrip"
"Electric Arc","Concentrate"
"Electric Arc","Electricity"
"Electric Arc","Manipulate"
"Elemental Counter","Cantrip"
"Elemental Counter","Concentrate"
"Elemental Counter","Uncommon"
"Evil Eye","Cantrip"
"Evil Eye","Curse"
"Evil Eye","Hex"
"Evil Eye","Manipulate"
"Evil Eye","Uncommon"
"Evil Eye","Witch"
"Figment","Cantrip"
"Figment","Concentrate"
"Figment","Illusion"
"Figment","Manipulate"
"Figment","Subtle"
"Forbidden Thought","Cantrip"
"Forbidden Thought","Enchantment"
"Forbidden Thought","Mental"
"Forbidden Thought","Psychic"
"Forbidden Thought","Uncommon"
"Forbidding Ward","Cantrip"
"Forbidding Ward","Concentrate"
"Forbidding Ward","Manipulate"
"Frost's Touch","Arcane"
"Frost's Touch","Cantrip"
"Frost's Touch","Cold"
"Frost's Touch","Conjuration"
"Frost's Touch","Rare"
"Frostbite","Cantrip"
"Frostbite","Cold"
"Frostbite","Concentrate"
"Frostbite","Manipulate"
"Gale Blast","Air"
"Gale Blast","Cantrip"
"Gale Blast","Concentrate"
"Gale Blast","Manipulate"
"Glass Shield","Cantrip"
"Glass Shield","Concentrate"
"Glass Shield","Earth"
"Glimpse Weakness","Cantrip"
"Glimpse Weakness","Divination"
"Glimpse Weakness","Psychic"
