"name","rank","spell_type","save_type","rarity","action_category","actions_min","actions_max","description","source_id"
"Ancient Dust","1","Cantrip","Fortitude","Uncommon","Activity","2","2","You cough up a cloud of gray soil.",
"Approximate","1","Cantrip","None","Common","Activity","2","2","Magically estimate the number of nearby objects.",
"Boost Eidolon","1","Cantrip","None","Uncommon","Free","0","0","You focus deeply on the link between you and your eidolon and boost the power of your eidolon's attacks.",
"Bullhorn","1","Cantrip","None","Common","Activity","2","2","Magnify your voice to be heard at a distance.",
"Buzzing Bites","1","Cantrip","Fortitude","Rare","Free","0","0","You evoke buzzing and crawling insects to climb onto a foe's body and bite.",
"Caustic Blast","1","Cantrip","None","Common","Activity","2","2","Fling a glob of acid that splashes a small area.",
"Clinging Ice","1","Cantrip","Reflex","Uncommon","Free","0","0","Freezing sleet and heavy snowfall collect on the target's feet and legs, dealing 1d4 cold damage and other effects depending on its Reflex save.",
"Courageous Anthem","1","Cantrip","None","Uncommon","Free","0","0","You inspire yourself and your allies with words or tunes of encouragement.",
"Daze","1","Cantrip","Will","Common","Activity","2","2","Cloud a creature's mind and possibly stun it.",
"Deep Breath","1","Cantrip","None","Common","Free","0","0","Take an incredibly deep breath.",
"Detect Magic","1","Cantrip","None","Common","Activity","2","2","Sense whether magic is nearby.",
"Detect Metal","1","Cantrip","None","Common","Activity","2","2","Sense whether metal is nearby.",
"Discern Secrets","1","Cantrip","None","Uncommon","Free","0","0","Your patron deigns to whisper a few secrets.",
"Distortion Lens","1","Cantrip","None","Uncommon","Free","0","0","You create a magical lens that distorts space as best suits you.",
"Divine Lance","1","Cantrip","None","Common","Activity","2","2","Throw divine energy that deals spirit damage.",
"Draw Moisture","1","Cantrip","None","Common","Activity","2","2","Dry out an object and collect the water.",
"Eat Fire","1","Cantrip","None","Common","Reaction","0","0","React to eat flame then belch the smoke out.",
"Electric Arc","1","Cantrip","None","Common","Activity","2","2","Zap one or two creatures with lightning.",
"Elemental Counter","1","Cantrip","None","Uncommon","Reaction","0","0","Use a countering element to protect against a spell.",
"Evil Eye","1","Cantrip","Will","Uncommon","Free","0","0","Your patron's resentment manifests in a baleful, envious gaze.",
"Figment","1","Cantrip","None","Common","Activity","2","2","Create a simple auditory or visual illusion.",
"Forbidden Thought","1","Cantrip","Will","Uncommon","Activity","2","2","You place a psychic lock in a foe's mind that prevents it from a specific action.",
"Forbidding Ward","1","Cantrip","None","Common","Activity","2","2","Protect an ally against one specific enemy.",
"Frost's Touch","1","Cantrip","None","Rare","Free","0","0","Your _gelid shard_ drinks down nearby heat in a futile attempt to sate itself and achieve a level of frigid cold unheard of on the Material Plane.",
"Frostbite","1","Cantrip","Fortitude","Common","Activity","2","2","Damage a creature with bitter cold.",
"Gale Blast","1","Cantrip","Fortitude","Common","Activity","2","2","Damage and push adjacent creatures with air.",
"Glass Shield","1","Cantrip","None","Common","Free","0","0","Protect yourself with a glass shield.",
"Glimpse Weakness","1","Cantrip","None","Uncommon","Free","0","0","You glimpse a loose scale, a seam in a foe's armor, or a similar weakness, aiding your allies in landing a precise hit.",
"Gouging Claw","1","Cantrip","None","Common","Activity","2","2","Morph your limb into a claw and attack with it.",
"Guidance","1","Cantrip","None","Common","Free","0","0","Divine guidance improves one roll.",
"Haunting Hymn","1","Cantrip","None","Common","Activity","2","2","A powerful hymn harms and deafens.",
"Healing Plaster","1","Cantrip","None","Common","Free","0","0","Transform mud into a healing plaster to treat wounds without healer's tools.",
"Ignition","1","Cantrip","None","Common","Activity","2","2","Burn a creature up close or at range.",
"Illuminate","1","Cantrip","None","Common","Free","0","0","Kindle all light sources around you.",
"Imaginary Weapon","1","Cantrip","None","Uncommon","Activity","2","2","You create a simple weapon of force.",
"Infectious Enthusiasm","1","Cantrip","None","Common","Activity","2","2","Encourage yourself and an ally to improve one roll apiece.",
"Inside Ropes","1","Cantrip","None","Uncommon","Free","0","0","You pull a large handful of guts from your midsection.",
"Invoke True Name","1","Cantrip","None","Rare","Free","0","0","You speak the true name of a creature to more surely affect it with your magic.",
"Join Pasts","1","Cantrip","None","Uncommon","Free","0","0","Share thoughts and experiences with allies.",
"Know the Way","1","Cantrip","None","Common","Activity","2","2","Learn true north and the direction to another location.",
"Light","1","Cantrip","None","Common","Activity","2","2","Make an object glow.",
"Live Wire","1","Cantrip","None","Common","Activity","2","2","Slash and shock a creature with an electrified filament.",
"Message","1","Cantrip","None","Common","Free","0","0","Speak a message to a distant creature, who can reply.",
"Murmuration","1","Cantrip","Will","Uncommon","Free","0","0","The target feels the brush of feathers against its skin and hears screeches in its ears, warning it to keep away from a creature you designate.",
"Musical Accompaniment","1","Cantrip","None","Common","Activity","2","2","You're surrounded by orchestral music that shifts and changes to match your behavior.",
"Needle Darts","1","Cantrip","None","Common","Activity","2","2","Turn a piece of metal into needles and shoot them at a foe.",
"Nudge Fate","1","Cantrip","Will","Uncommon","Free","0","0","The barest spin of your patron's spool is enough to alter fate.",
"Pact Broker","1","Cantrip","Will","Rare","Free","0","0","You offer to broker a pact of peace.",
"Phase Bolt","1","Cantrip","None","Common","Activity","2","2","Fire a spike of magic that can pass through shields and cover",
"Prestidigitation","1","Cantrip","None","Common","Activity","2","2","Perform a minor magical trick.",
"Protect Companion","1","Cantrip","None","Common","Free","0","0","Shield your eidolon or minion from harm.",
"Puff of Poison","1","Cantrip","Fortitude","Common","Activity","2","2","Exhale toxins to poison a foe.",
"Read Aura","1","Cantrip","None","Common","Activity","1","1","Detect if an object is magical.",
"Read the Air","1","Cantrip","None","Common","Activity","2","2","Pick up societal cues.",
"Reinforce Eidolon","1","Cantrip","None","Uncommon","Free","0","0","You focus deeply on the link between you and your eidolon and reinforce your eidolon's defenses.",
"Root Reading","1","Cantrip","None","Common","Activity","2","2","Learn about an area using root systems.",
"Rousing Splash","1","Cantrip","None","Common","Activity","2","2","Splash a creature to invigorate it and wash away acid and fire.",
"Scatter Scree","1","Cantrip","None","Common","Activity","2","2","Evoke rocks to bludgeon and create difficult terrain.",
"Scrounger's Glee","1","Cantrip","Will","Uncommon","Free","0","0","With a cruel laugh and a flash of your canines, you make a target understand that death is coming to claim it and that its demise will serve to strengthen another.",
"Shield","1","Cantrip","None","Common","Free","0","0","A shield of magical force blocks attacks and spells.",
"Shroud of Night","1","Cantrip","Will","Uncommon","Free","0","0","Your patron blankets the target's eyes in darkness.",
"Sigil","1","Cantrip","None","Common","Activity","2","2","Leave a magical mark.",
"Silver's Refrain","1","Cantrip","None","Rare","Free","0","0","Make weapons silver and impede a devil's teleportation.",
"Slashing Gust","1","Cantrip","None","Common","Activity","2","2","Cut creatures with ripples of air.",
"Song of Strength","1","Cantrip","None","Uncommon","Free","0","0","You bolster your allies' physical strength with a hearty exhortation.",
"Spirit Object","1","Cantrip","None","Rare","Activity","2","2","Using a sliver of Baba Yaga's power, you briefly bring an object to life.",
"Spout","1","Cantrip","None","Common","Activity","2","2","Batter creatures with a water blast.",
"Stabilize","1","Cantrip","None","Common","Activity","2","2","Stabilize a dying creature.",
"Sting of the Sea","1","Cantrip","Fortitude","Uncommon","Free","0","0","A long tentacle like that belonging to an octopus, anemone, or man-of-war, dripping with briny water, appears from a glowing blue portal to wrap around the targetâ€™s face, blocking its vision.",
"Stoke the Heart","1","Cantrip","None","Uncommon","Free","0","0","Your patron fills a creature with fervor, empowering their blows.",
"Summon Instrument","1","Cantrip","None","Common","Activity","3","3","Call an instrument that only you can play.",
"Take Root","1","Cantrip","None","Common","Free","0","0","Reinforce a creatureâ€™s stance or grip with roots.",
"Tame","1","Cantrip","Will","Common","Activity","2","2","Make a domesticated animal friendlier to you.",
"Tangle Vine","1","Cantrip","None","Common","Activity","2","2","Conjure a vine to entangle a creature.",
"Telekinetic Hand","1","Cantrip","None","Common","Activity","2","2","Move an object with a floating hand.",
"Telekinetic Projectile","1","Cantrip","None","Common","Activity","2","2","Fling an object at a creature.",
"Telekinetic Rend","1","Cantrip","None","Uncommon","Activity","2","2","Your mind creates a violent axis of motion in a nearby space.",
"Thermal Stasis","1","Cantrip","None","Uncommon","Free","0","0","The same abilities that let you raise or lower thermal energy also let you keep it at a safe medium.",
"Timber","1","Cantrip","None","Common","Activity","2","2","Drop a tree on someone.",
"Time Sense","1","Cantrip","None","Common","Free","0","0","Know perfectly what time it is",
"Torturous Trauma","1","Cantrip","None","Uncommon","Activity","2","2","You batter a creature's internal organs, leaving no external signs of the immense pain you delivered.",
"Tremor Signs","1","Cantrip","None","Common","Free","0","0","Send a sentence through stone.",
"Uplifting Overture","1","Cantrip","None","Uncommon","Free","0","0","Your performance makes allies feel they can succeed at anything.",
"Vitality Lash","1","Cantrip","Fortitude","Common","Activity","2","2","Damage and weaken the undead with vital energy.",
"Void Warp","1","Cantrip","Fortitude","Common","Activity","2","2","Damage and weaken the living with void energy.",
"Warp Step","1","Cantrip","None","Common","Activity","2","2","Contract space to cover more ground when you move",
"Wash Your Luck","1","Cantrip","None","Common","Activity","2","2","Ignore misfortune once.",
"Wilding Word","1","Cantrip","Will","Uncommon","Free","0","0","Your patron's majestyâ€”or their displeasureâ€”comes in a growl from your throat, making other creatures reluctant to harm you.",
"Rallying Anthem","2","Cantrip","None","Uncommon","Free","0","0","Your song moves allies to protect themselves more effectively.",
"Triple Time","2","Cantrip","None","Uncommon","Free","0","0","Your music sets a fast pace.",
"Astral Rain","3","Cantrip","Reflex","Uncommon","Activity","2","2","You fling a mass of furious thoughts into the air, where they expand into numerous blades or other shapes that rain down.",
"Dirge of Doom","3","Cantrip","None","Uncommon","Free","0","0","Enemies within the area are frightened 1.",
"Entropic Wheel","3","Cantrip","None","Uncommon","Reaction","0","0","You stockpile thermal energy in a magical wheel-like construct that lets you burn opponents with cold or freeze their bodies with heat.",
"Fate's Travels","3","Cantrip","Will","Rare","Activity","1","1","You get a vision of the creature when it was alive, and its last 10 minutes of travel.",
"Ghostly Shift","3","Cantrip","None","Uncommon","Free","0","0","Your body becomes insubstantial as you partially phase out.",
"Omnidirectional Scan","3","Cantrip","None","Uncommon","Free","0","0","You quickly view your surroundings from a variety of angles, your senses constructing an overall mental picture.",
"Shatter Mind","3","Cantrip","None","Uncommon","Activity","2","2","You telepathically assail the minds of your foes.",
"Song of Marching","3","Cantrip","None","Uncommon","Free","0","0","You maintain a brisk performance that keeps allies on the move.",
"Vector Screen","3","Cantrip","None","Uncommon","Activity","2","2","You set up a transparent, rippling screen of telekinetic energy that seizes small, fast-moving projectiles.",
"Contagious Idea","5","Cantrip","None","Uncommon","Activity","2","2","Nothing is so contagious as a thought.",
"Dancing Blade","5","Cantrip","None","Uncommon","Activity","2","2","You telekinetically animate a weapon that's unattended or on your person.",
"Foresee the Path","5","Cantrip","None","Uncommon","Free","0","0","You see just a split second into the future and glean how an enemy will move, making it easier for your allies to strike it mid-action.",
"Hologram Cage","5","Cantrip","None","Uncommon","Activity","3","3","You weave light into a cube of vivid and fantastic patterns.",
"House of Imaginary Walls","5","Cantrip","None","Uncommon","Free","0","0","You mime an invisible 10-foot-by-10-foot wall adjacent to you and within your reach.",
"Redistribute Potential","5","Cantrip","None","Uncommon","Activity","2","2","Energy attempts to balance out, but with your magic, you can shunt all the energy in one area to another.",
"Tesseract Tunnel","5","Cantrip","None","Uncommon","Activity","2","2","You race from point to point, tearing open a tunnel in space.",
"Allegro","7","Cantrip","None","Uncommon","Free","0","0","You perform rapidly, speeding up your ally.",
"Adapt Self","1","Focus","None","Common","Activity","2","2","You make subtle changes to yourself to adapt to the situation.",
"Agile Feet","1","Focus","None","Uncommon","Free","0","0","The blessings of your god make your feet faster and your movements more fluid.",
"Ancestral Memories","1","Focus","None","Uncommon","Free","0","0","The memories of long-dead spellcasters grant you their knowledge, making your spells more formidable.",
"Ancestral Touch","1","Focus","Will","Uncommon","Free","0","0","You touch a creature and force them to see and feel the ancestors surrounding you.",
"Angelic Halo","1","Focus","None","Uncommon","Free","0","0","You gain an angelic halo with an aura that increases allies' healing from the _heal_ spell.",
"Appearance of Wealth","1","Focus","Will","Uncommon","Activity","2","2","You create a brief vision of immense wealth filling the spell's area.",
"Arms of Nature","1","Focus","None","Uncommon","Activity","2","2","All wood, dead or alive, is your armory.",
"Ashen Wind","1","Focus","Fortitude","Uncommon","Activity","2","2","You conjure a swirling wind of ashes that blows through the area.",
"Athletic Rush","1","Focus","None","Uncommon","Free","0","0","Your body fills with physical power and skill.",
"Bit of Luck","1","Focus","None","Uncommon","Activity","2","2","You tilt the scales of luck slightly to protect a creature from disaster.",
"Blood Ward","1","Focus","None","Uncommon","Free","0","0","Your patron's aegis descends to shield a target from harm.",
"Brain Drain","1","Focus","Will","Uncommon","Activity","2","2","You probe the target's mind to glean knowledge.",
"Cackle","1","Focus","None","Uncommon","Activity","1","1","With a quick burst of laughter, you prolong a magical effect you created.",
"Call to Arms","1","Focus","None","Uncommon","Reaction","0","0","You cry out a call to arms, inspiring your allies to enter the fray.",
"Charged Javelin","1","Focus","None","Common","Activity","2","2","You fire a javelin of electricity that leaves a charged field around its target.",
"Charming Push","1","Focus","Will","Uncommon","Free","0","0","You push at the target's mind to deflect their ire.",
"Charming Touch","1","Focus","Will","Uncommon","Free","0","0","You infuse your target with attraction, causing it to act friendlier toward you.",
"Cinder Gaze","1","Focus","None","Rare","Activity","1","1","You've learned to read the future in the patterns of flames and smoke.",
"Cloak of Shadow","1","Focus","None","Uncommon","Free","0","0","You drape the target in a mantle of swirling shadows that make it harder to see.",
